,Date,variable,value
0,1995-01-01,SF,100.0
1,1995-04-01,SF,100.01
2,1995-07-01,SF,100.83
3,1995-10-01,SF,100.95
4,1996-01-01,SF,100.8
5,1996-04-01,SF,100.74
6,1996-07-01,SF,101.93
7,1996-10-01,SF,103.43
8,1997-01-01,SF,104.96
9,1997-04-01,SF,108.04
10,1997-07-01,SF,111.63
11,1997-10-01,SF,114.31
12,1998-01-01,SF,117.3
13,1998-04-01,SF,121.32
14,1998-07-01,SF,126.01
15,1998-10-01,SF,127.93
16,1999-01-01,SF,130.96
17,1999-04-01,SF,136.38
18,1999-07-01,SF,142.41
19,1999-10-01,SF,150.49
20,2000-01-01,SF,159.05
21,2000-04-01,SF,170.06
22,2000-07-01,SF,178.5
23,2000-10-01,SF,184.26
24,2001-01-01,SF,190.46
25,2001-04-01,SF,194.14
26,2001-07-01,SF,195.58
27,2001-10-01,SF,192.91
28,2002-01-01,SF,195.48
29,2002-04-01,SF,200.24
30,2002-07-01,SF,204.97
31,2002-10-01,SF,206.89
32,2003-01-01,SF,208.95
33,2003-04-01,SF,209.87
34,2003-07-01,SF,211.9
35,2003-10-01,SF,218.98
36,2004-01-01,SF,222.97
37,2004-04-01,SF,232.25
38,2004-07-01,SF,249.12
39,2004-10-01,SF,256.08
40,2005-01-01,SF,266.97
41,2005-04-01,SF,283.22
42,2005-07-01,SF,292.83
43,2005-10-01,SF,301.39
44,2006-01-01,SF,305.89
45,2006-04-01,SF,306.44
46,2006-07-01,SF,310.59
47,2006-10-01,SF,306.78
48,2007-01-01,SF,306.69
49,2007-04-01,SF,305.79
50,2007-07-01,SF,305.39
51,2007-10-01,SF,298.33
52,2008-01-01,SF,291.28
53,2008-04-01,SF,279.47
54,2008-07-01,SF,270.19
55,2008-10-01,SF,265.92
56,2009-01-01,SF,261.54
57,2009-04-01,SF,251.45
58,2009-07-01,SF,248.3
59,2009-10-01,SF,249.16
60,2010-01-01,SF,248.05
61,2010-04-01,SF,247.82
62,2010-07-01,SF,248.88
63,2010-10-01,SF,246.87
64,2011-01-01,SF,241.27
65,2011-04-01,SF,238.09
66,2011-07-01,SF,239.48
67,2011-10-01,SF,238.98
68,2012-01-01,SF,238.16
69,2012-04-01,SF,241.59
70,2012-07-01,SF,247.35
71,2012-10-01,SF,254.63
72,2013-01-01,SF,261.17
73,2013-04-01,SF,274.55
74,2013-07-01,SF,291.55
75,2013-10-01,SF,298.83
76,2014-01-01,SF,305.94
77,2014-04-01,SF,318.64
78,2014-07-01,SF,328.5
79,2014-10-01,SF,334.05
80,2015-01-01,SF,339.09
81,2015-04-01,SF,355.15
82,2015-07-01,SF,372.54
83,2015-10-01,SF,381.64
84,2016-01-01,SF,386.75
85,2016-04-01,SF,391.38
86,2016-07-01,SF,400.47
87,2016-10-01,SF,404.23
88,2017-01-01,SF,413.2
89,2017-04-01,SF,421.16
90,2017-07-01,SF,428.26
91,2017-10-01,SF,434.06
92,2018-01-01,SF,449.73
93,2018-04-01,SF,472.8
94,2018-07-01,SF,486.91
95,2018-10-01,SF,475.0
96,2019-01-01,SF,471.57
97,2019-04-01,SF,473.81
98,2019-07-01,SF,477.67
99,1995-01-01,LA,100.0
100,1995-04-01,LA,100.96
101,1995-07-01,LA,102.72
102,1995-10-01,LA,102.99
103,1996-01-01,LA,102.83
104,1996-04-01,LA,100.28
105,1996-07-01,LA,99.71
106,1996-10-01,LA,100.43
107,1997-01-01,LA,100.65
108,1997-04-01,LA,100.78
109,1997-07-01,LA,102.98
110,1997-10-01,LA,105.43
111,1998-01-01,LA,108.16
112,1998-04-01,LA,110.55
113,1998-07-01,LA,113.44
114,1998-10-01,LA,116.06
115,1999-01-01,LA,117.97
116,1999-04-01,LA,119.19
117,1999-07-01,LA,120.98
118,1999-10-01,LA,122.82
119,2000-01-01,LA,126.34
120,2000-04-01,LA,128.02
121,2000-07-01,LA,130.89
122,2000-10-01,LA,133.85
123,2001-01-01,LA,137.59
124,2001-04-01,LA,140.7
125,2001-07-01,LA,143.91
126,2001-10-01,LA,147.21
127,2002-01-01,LA,152.16
128,2002-04-01,LA,158.22
129,2002-07-01,LA,164.29
130,2002-10-01,LA,169.48
131,2003-01-01,LA,174.1
132,2003-04-01,LA,178.4
133,2003-07-01,LA,185.78
134,2003-10-01,LA,199.95
135,2004-01-01,LA,208.23
136,2004-04-01,LA,221.79
137,2004-07-01,LA,245.74
138,2004-10-01,LA,254.61
139,2005-01-01,LA,264.97
140,2005-04-01,LA,280.35
141,2005-07-01,LA,295.89
142,2005-10-01,LA,314.88
143,2006-01-01,LA,326.52
144,2006-04-01,LA,333.84
145,2006-07-01,LA,339.6
146,2006-10-01,LA,339.92
147,2007-01-01,LA,337.72
148,2007-04-01,LA,335.64
149,2007-07-01,LA,328.58
