date,path_of_least_resistance_price,trade_cycle_state_price,path_of_least_resistance_colors,trade_cycle_colors
2018-11-19,269.1,269.1,"rgb(255, 224, 224)","rgb(192, 192, 192)"
2018-11-20,264.12,264.12,"rgb(255, 48, 48)","rgb(255, 48, 48)"
2018-11-21,265.02,265.02,"rgb(255, 48, 48)","rgb(255, 48, 48)"
2018-11-23,263.25,263.25,"rgb(255, 48, 48)","rgb(255, 48, 48)"
2018-11-26,267.5,267.5,"rgb(255, 48, 48)","rgb(255, 48, 48)"
2018-11-27,268.4,268.4,"rgb(255, 48, 48)","rgb(255, 48, 48)"
2018-11-28,274.58,274.58,"rgb(255, 224, 224)","rgb(144, 238, 144)"
2018-11-29,273.98,273.98,"rgb(255, 224, 224)","rgb(144, 238, 144)"
2018-11-30,275.65,275.65,"rgb(255, 224, 224)","rgb(144, 238, 144)"
2018-12-03,279.3,279.3,"rgb(26, 166, 26)","rgb(26, 166, 26)"
2018-12-04,270.25,270.25,"rgb(255, 224, 224)","rgb(192, 192, 192)"
2018-12-06,269.84,269.84,"rgb(255, 224, 224)","rgb(192, 192, 192)"
2018-12-07,263.57,263.57,"rgb(255, 224, 224)","rgb(192, 192, 192)"
2018-12-10,264.07,264.07,"rgb(255, 48, 48)","rgb(255, 48, 48)"
2018-12-11,264.13,264.13,"rgb(255, 48, 48)","rgb(255, 48, 48)"
2018-12-12,265.46,265.46,"rgb(255, 48, 48)","rgb(255, 48, 48)"
2018-12-13,265.37,265.37,"rgb(255, 48, 48)","rgb(255, 48, 48)"
2018-12-14,260.47,260.47,"rgb(255, 48, 48)","rgb(255, 48, 48)"
2018-12-17,255.36,255.36,"rgb(255, 48, 48)","rgb(255, 48, 48)"
2018-12-18,255.08,255.08,"rgb(255, 48, 48)","rgb(255, 48, 48)"
2018-12-19,251.26,251.26,"rgb(255, 48, 48)","rgb(255, 255, 102)"
2018-12-20,247.17,247.17,"rgb(255, 48, 48)","rgb(255, 255, 102)"
2018-12-21,240.7,240.7,"rgb(255, 48, 48)","rgb(255, 255, 102)"
2018-12-24,234.34,234.34,"rgb(255, 48, 48)","rgb(255, 255, 102)"
2018-12-26,246.18,246.18,"rgb(255, 48, 48)","rgb(255, 48, 48)"
2018-12-27,248.07,248.07,"rgb(255, 48, 48)","rgb(255, 48, 48)"
2018-12-28,247.75,247.75,"rgb(255, 48, 48)","rgb(255, 48, 48)"
2018-12-31,249.92,249.92,"rgb(255, 48, 48)","rgb(255, 48, 48)"
2019-01-02,250.18,250.18,"rgb(255, 224, 224)","rgb(144, 238, 144)"
2019-01-03,244.21,244.21,"rgb(255, 224, 224)","rgb(192, 192, 192)"
2019-01-04,252.39,252.39,"rgb(255, 224, 224)","rgb(144, 238, 144)"
2019-01-07,254.38,254.38,"rgb(255, 224, 224)","rgb(144, 238, 144)"
