trigger_date,line_color
2020-04-14,"rgb(137, 183, 135)"
2020-04-14,"rgb(137, 183, 135)"
2020-04-14,"rgb(137, 183, 135)"
2020-04-14,"rgb(137, 183, 135)"
2020-04-14,"rgb(137, 183, 135)"
2020-04-14,"rgb(137, 183, 135)"
2020-04-13,"rgb(137, 183, 135)"
2020-04-13,"rgb(137, 183, 135)"
2020-04-09,"rgb(137, 183, 135)"
2020-04-09,"rgb(137, 183, 135)"
2020-04-09,"rgb(137, 183, 135)"
2020-04-09,"rgb(137, 183, 135)"
2020-04-09,"rgb(137, 183, 135)"
2020-04-09,"rgb(255, 209, 209)"
2020-04-08,"rgb(137, 183, 135)"
2020-04-08,"rgb(137, 183, 135)"
2020-04-08,"rgb(137, 183, 135)"
2020-04-08,"rgb(137, 183, 135)"
2020-04-08,"rgb(255, 209, 209)"
2020-04-08,"rgb(255, 209, 209)"
2020-04-08,"rgb(137, 183, 135)"
2020-04-08,"rgb(255, 209, 209)"
2020-04-08,"rgb(255, 209, 209)"
2020-04-08,"rgb(255, 209, 209)"
2020-04-08,"rgb(255, 209, 209)"
2020-04-08,"rgb(255, 209, 209)"
2020-04-07,"rgb(137, 183, 135)"
2020-04-07,"rgb(137, 183, 135)"
2020-04-07,"rgb(137, 183, 135)"
2020-04-07,"rgb(137, 183, 135)"
2020-04-07,"rgb(137, 183, 135)"
2020-04-07,"rgb(137, 183, 135)"
2020-04-07,"rgb(137, 183, 135)"
2020-04-07,"rgb(137, 183, 135)"
2020-04-07,"rgb(137, 183, 135)"
2020-04-07,"rgb(137, 183, 135)"
2020-04-07,"rgb(137, 183, 135)"
2020-04-07,"rgb(137, 183, 135)"
2020-04-07,"rgb(137, 183, 135)"
2020-04-07,"rgb(137, 183, 135)"
2020-04-07,"rgb(137, 183, 135)"
2020-04-07,"rgb(137, 183, 135)"
2020-04-07,"rgb(137, 183, 135)"
2020-04-07,"rgb(137, 183, 135)"
2020-04-07,"rgb(137, 183, 135)"
2020-04-07,"rgb(137, 183, 135)"
2020-04-07,"rgb(137, 183, 135)"
2020-04-07,"rgb(137, 183, 135)"
2020-04-06,"rgb(251, 107, 107)"
2020-04-06,"rgb(137, 183, 135)"
